Code,Tile,Author,URL,Year
POE_3,Paradise Lost,"Milton, John",https://www.gutenberg.org/ebooks/20,1991
DRA_5,The Tragedy of Romeo and Juliet,"Shakespeare, William",https://www.gutenberg.org/ebooks/1112,1997
CLA_1,Myths and Legends of Ancient Greece and Rome,"Berens, E. M.",https://www.gutenberg.org/ebooks/22381,2007
SCI_5,Common Sense,"Paine, Thomas",https://www.gutenberg.org/ebooks/147,2008
FIC_57,Northanger Abbey,"Austen, Jane",https://www.gutenberg.org/ebooks/121,1994
FIC_58,The Scarlet Letter,"Hawthorne, Nathaniel",https://www.gutenberg.org/ebooks/33,1992
SOC_1,The Communist Manifesto,"Engels, Friedrich",https://www.gutenberg.org/ebooks/61,2005
FIC_59,The Turn of the Screw,"James, Henry",https://www.gutenberg.org/ebooks/209,1995
DRA_6,Lysistrata,Aristophanes,https://www.gutenberg.org/ebooks/7700,2008
AFR_1,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",https://www.gutenberg.org/ebooks/408,2008
FIC_60,Madame Bovary,"Flaubert, Gustave",https://www.gutenberg.org/ebooks/2413,2006
FIC_61,The Reign of Greed,"Rizal, Jose",https://www.gutenberg.org/ebooks/10676,2005
DRA_7,Hedda Gabler,"Ibsen, Henrik",https://www.gutenberg.org/ebooks/4093,2003
FIC_62,The Return of Sherlock Holmes,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/108,2007
ART_1,Le Morte d'Arthur: Volume 1,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/1251,1998
FIC_1,The Works of Edgar Allan Poe — Volume 1,"Poe, Edgar Allan",https://www.gutenberg.org/ebooks/2147,2008
POE_4,Don Juan,"Byron, George Gordon Byron, Baron",https://www.gutenberg.org/ebooks/21700,2007
FIC_63,The War of the Worlds,"Wells, H. G. (Herbert George)",https://www.gutenberg.org/ebooks/36,1992
FIC_64,Mansfield Park,"Austen, Jane",https://www.gutenberg.org/ebooks/141,1994
FIC_65,Just So Stories,"Kipling, Rudyard",https://www.gutenberg.org/ebooks/2781,2004
FIC_66,Middlemarch,"Eliot, George",https://www.gutenberg.org/ebooks/145,2008
PHI_3,Thus Spake Zarathustra: A Book for All and None,"Nietzsche, Friedrich Wilhelm",https://www.gutenberg.org/ebooks/1998,1999
BIO_1,"On the Origin of Species By Means of Natural Selection: Or, the Preservation of Favoured Races in the Struggle for Life","Darwin, Charles",https://www.gutenberg.org/ebooks/1228,1998
DRA_8,Faust,"Goethe, Johann Wolfgang von",https://www.gutenberg.org/ebooks/14591,2005
ECO_1,An Inquiry into the Nature and Causes of the Wealth of Nations,"Smith, Adam",https://www.gutenberg.org/ebooks/3300,2002
FIC_2,The Tale of Peter Rabbit,"Potter, Beatrix",https://www.gutenberg.org/ebooks/14838,2005
HAN_1,"The Ladies' Book of Etiquette, and Manual of Politeness: A Complete Hand Book for the Use of the Lady in Polite Society","Hartley, Florence",https://www.gutenberg.org/ebooks/35123,2011
FIC_67,Little Women,"Alcott, Louisa May",https://www.gutenberg.org/ebooks/514,1996
PHI_4,The Problems of Philosophy,"Russell, Bertrand",https://www.gutenberg.org/ebooks/5827,2004
FIC_68,Bleak House,"Dickens, Charles",https://www.gutenberg.org/ebooks/1023,1997
FIC_3,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan",https://www.gutenberg.org/ebooks/2148,2008
HUM_2,The Devil's Dictionary,"Bierce, Ambrose",https://www.gutenberg.org/ebooks/972,1911
SCI_6,The Art of War,"Sunzi, active 6th century B.C.",https://www.gutenberg.org/ebooks/132,1994
PHI_5,The Critique of Pure Reason,"Kant, Immanuel",https://www.gutenberg.org/ebooks/4280,2003
FIC_69,"Memoirs Of Fanny Hill: A New and Genuine Edition from the Original Text (London, 1749)","Cleland, John",https://www.gutenberg.org/ebooks/25305,2008
FIC_70,The Sign of the Four,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/2097,2000
ENG_8,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,https://www.gutenberg.org/ebooks/1727,1999
FIC_71,A Princess of Mars,"Burroughs, Edgar Rice",https://www.gutenberg.org/ebooks/62,2008
MYT_1,Myths and Legends of China,"Werner, E. T. C. (Edward Theodore Chalmers)",https://www.gutenberg.org/ebooks/15250,2005
FIC_72,The Three Musketeers,"Dumas, Alexandre",https://www.gutenberg.org/ebooks/1257,1998
FIC_4,2 B R 0 2 B,"Vonnegut, Kurt",https://www.gutenberg.org/ebooks/21279,2007
FIC_73,The Sorrows of Young Werther,"Goethe, Johann Wolfgang von",https://www.gutenberg.org/ebooks/2527,2001
FIC_74,The Woman in White,"Collins, Wilkie",https://www.gutenberg.org/ebooks/583,1996
FIC_75,Notes from the Underground,"Dostoyevsky, Fyodor",https://www.gutenberg.org/ebooks/600,1996
FIC_76,The Memoirs of Sherlock Holmes,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/834,1997
HIS_1,The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two; Project Gutenberg editions (12 volumes),"Gibbon, Edward",https://www.gutenberg.org/ebooks/25717,2008
FIC_77,The Trial,"Kafka, Franz",https://www.gutenberg.org/ebooks/7849,2005
DRA_9,"Hamlet, Prince of Denmark","Shakespeare, William",https://www.gutenberg.org/ebooks/1524,1603
ENG_9,A Concise Dictionary of Middle English from A.D. 1150 to 1580,"Skeat, Walter W. (Walter William)",https://www.gutenberg.org/ebooks/10625,2004
FIC_78,The Wind in the Willows,"Grahame, Kenneth",https://www.gutenberg.org/ebooks/289,1995
FIC_79,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",https://www.gutenberg.org/ebooks/110,1994
DRA_10,Macbeth,"Shakespeare, William",https://www.gutenberg.org/ebooks/2264,1623
ENG_10,The Elements of Style,"Strunk, William",https://www.gutenberg.org/ebooks/37134,2011
DRA_11,An Ideal Husband,"Wilde, Oscar",https://www.gutenberg.org/ebooks/885,2009
FIC_80,Don Quijote,"Cervantes Saavedra, Miguel de",https://www.gutenberg.org/ebooks/2000,1999
FIC_81,The Prince and the Pauper,"Twain, Mark",https://www.gutenberg.org/ebooks/1837,2006
FIC_82,North and South,"Gaskell, Elizabeth Cleghorn",https://www.gutenberg.org/ebooks/4276,2012
POE_5,Childe Harold's Pilgrimage,"Byron, George Gordon Byron, Baron",https://www.gutenberg.org/ebooks/5131,2004
