"bibliography.congress classifications","bibliography.languages","bibliography.subjects","bibliography.title","bibliography.type","metadata.downloads","metadata.id","metadata.rank","metadata.url","bibliography.author.birth","bibliography.author.death","bibliography.author.name","bibliography.publication.day","bibliography.publication.full","bibliography.publication.month","bibliography.publication.month name","bibliography.publication.year","metadata.formats.total","metadata.formats.types","metrics.difficulty.automated readability index","metrics.difficulty.coleman liau index","metrics.difficulty.dale chall readability score","metrics.difficulty.difficult words","metrics.difficulty.flesch kincaid grade","metrics.difficulty.flesch reading ease","metrics.difficulty.gunning fog","metrics.difficulty.linsear write formula","metrics.difficulty.smog index","metrics.sentiments.polarity","metrics.sentiments.subjectivity","metrics.statistics.average letter per word","metrics.statistics.average sentence length","metrics.statistics.average sentence per word","metrics.statistics.characters","metrics.statistics.polysyllables","metrics.statistics.sentences","metrics.statistics.syllables","metrics.statistics.words"
"PZ,PS",en,"People with disabilities -- Fiction,Gardens -- Fiction,Orphans -- Fiction,Yorkshire (England) -- Fiction",The Secret Garden,Text,830,17396,437,https://www.gutenberg.org/ebooks/17396,1849,1924,"Burnett, Frances Hodgson",26,"December 26, 2005",12,December,2005,9,"application/rdf+xml,image/jpeg,text/html; charset=iso-8859-1,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,text/plain",7.0,8.4,5.33,5127,5.2,82.65,7.6000000000000005,11.0,3.1,0.0864604234944442,0.5012077523864371,4.53,14.0,0.07,366551,886,5686,101291.4,80957
F590.3,en,"Lewis and Clark Expedition (1804-1806);Columbia River -- Description and travel;Clark, William, 1770-1838;Missouri River -- Description and travel;West (U.S.) -- History -- To 1848;West (U.S.) -- Description and travel;Lewis, Meriwether, 1774-1809","The Journals of Lewis and Clark, 1804-1806",Text,829,8419,439,https://www.gutenberg.org/ebooks/8419,1770,1838,"Clark, William",1,"July, 2005",7,July,2005,8,"application/rdf+xml,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/html; charset=iso-8859-1,text/plain",13.8,9.23,1.89,23356,10.3,69.45,12.8,8.0,3.1,0.05017642814133908,0.3991338703097391,4.52,27.0,0.04,3002163,11931,23808,862051.5,664165
PS,en,"Revolutions -- Fiction,Oligarchy -- Fiction,Science fiction,Socialism -- Fiction,Political fiction,Revolutionaries -- Fiction,Dystopias -- Fiction",The Iron Heel,Text,827,1164,441,https://www.gutenberg.org/ebooks/1164,1876,1916,"London, Jack",3,"May 3, 2006",5,May,2006,7,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",8.9,10.43,6.13,9994,6.4,74.19,7.6000000000000005,2.0,3.1,0.07614165919247295,0.4930927333860423,4.88,14.0,0.07,428593,3501,6015,123803.1,87796
PR,en,"Plague -- Fiction;London (England) -- History -- 17th century -- Fiction;Historical fiction;Great Fire, London, England, 1666 -- Fiction",A Journal of the Plague Year: Written by a Citizen Who Continued All the While in London,Text,826,376,442,https://www.gutenberg.org/ebooks/376,0,1731,"Defoe, Daniel",16,"January 16, 2006",1,January,2006,6,"text/plain,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/rdf+xml,application/epub+zip,application/x-mobipocket-ebook",24.2,10.29,7.06,6261,18.5,48.14,21.200000000000003,19.0,8.8,0.05046834446630697,0.49924318144256036,4.6,48.0,0.02,434954,2282,1971,126729.9,94619
BR,en,England -- Church history -- 449-1066,Bede's Ecclesiastical History of England,Text,825,38326,443,https://www.gutenberg.org/ebooks/38326,673,735,"Bede, the Venerable, Saint",17,"December 17, 2011",12,December,2011,11,"application/prs.tei,text/plain; charset=us-ascii,text/html; charset=utf-8,application/pdf,text/plain; charset=utf-8,application/octet-stream,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,application/rdf+xml,application/x-mobipocket-ebook",12.5,11.2,5.88,13699,7.9,75.54,10.4,11.0,3.1,0.13528461079154885,0.447471054031561,4.91,21.0,0.05,884434,5281,8294,238061.7,179997
"CR,BJ",en,"Japan -- Social life and customs;Bushido;Ethics -- Japan;Samurai -- History;Japan -- Civilization;Philosophy, Japanese","Bushido, the Soul of Japan",Text,821,12096,446,https://www.gutenberg.org/ebooks/12096,1862,1933,"Nitobe, Inazo",21,"April 21, 2004",4,April,2004,8,"application/rdf+xml,text/plain; charset=utf-8,text/html; charset=iso-8859-1,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",14.8,12.42,7.71,6104,11.5,55.58,11.600000000000001,18.0,8.8,0.10958462330536184,0.4596885443852122,5.07,24.0,0.04,169432,1645,1359,50247.0,33447
PZ,en,"Universities and colleges -- Fiction;Self-perception -- Fiction;Canada -- History -- 1914-1945 -- Fiction;Orphans -- Fiction;Prince Edward Island -- History -- 20th century -- Fiction;Nova Scotia -- History -- 20th century -- Fiction;Interpersonal relations -- Fiction;Shirley, Anne (Fictitious character) -- Fiction",Anne of the Island,Text,819,51,451,https://www.gutenberg.org/ebooks/51,1874,1942,"Montgomery, L. M. (Lucy Maud)",7,"March 7, 2006",3,March,2006,7,"application/x-mobipocket-ebook,text/plain; charset=us-ascii,text/html; charset=us-ascii,application/zip,application/rdf+xml,application/epub+zip,text/plain",7.6,9.5,5.92,7966,4.8,83.66,7.2,13.0,3.1,0.09772471948161861,0.5184044251176035,4.77,13.0,0.08,364866,1564,5870,102546.0,76565
PR,en,"Autobiographical fiction,British -- Belgium -- Fiction,Brussels (Belgium) -- Fiction,Women teachers -- Fiction,Love stories",Villette,Text,819,9182,452,https://www.gutenberg.org/ebooks/9182,1816,1855,"Bronte, Charlotte",1,"October, 2005",10,October,2005,8,"text/html,text/plain; charset=us-ascii,text/plain,application/zip,application/rdf+xml,application/epub+zip,text/plain; charset=iso-8859-1,application/x-mobipocket-ebook",11.3,11.08,6.4,22213,8.3,69.11,9.600000000000001,1.0,3.1,0.10195900081678519,0.5032952540793808,4.89,19.0,0.05,941477,5862,9917,268078.5,192542
PR,en,"English poetry -- 18th century,English poetry -- 19th century",The Poetical Works of William Wordsworth — Volume 3,Text,814,12383,453,https://www.gutenberg.org/ebooks/12383,1770,1850,"Wordsworth, William",19,"May 19, 2004",5,May,2004,9,"application/rdf+xml,text/html,text/html; charset=iso-8859-1,text/plain,application/zip,text/plain; charset=iso-8859-1,application/epub+zip,text/plain; charset=us-ascii,application/x-mobipocket-ebook",16.5,12.31,6.99,15310,10.7,68.44,13.200000000000001,27.0,3.1,0.12950098926893996,0.48782081488232465,5.05,28.0,0.04,619927,2955,4329,165046.5,122801
PQ,en,"Islands of the Pacific -- Fiction,Science fiction,Castaways -- Fiction,Adventure stories",The Mysterious Island,Text,813,1268,454,https://www.gutenberg.org/ebooks/1268,1828,1905,"Verne, Jules",1,"April, 1998",4,April,1998,6,"text/html; charset=us-ascii,text/plain; charset=us-ascii,application/x-mobipocket-ebook,application/rdf+xml,application/epub+zip,text/plain",11.4,11.55,5.59,12951,7.9,70.13,9.200000000000001,3.0,3.1,0.09447586484955386,0.48653587350661903,4.97,18.0,0.05,959926,5524,10220,271143.0,193330
